국가별,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
아시아,,,,,,,,,,,,
한국,89.7,64.2,38.7,33.6,25.2,15.7,10.3,6.9,5,3.5,3,2.4
이스라엘,28.3,24.3,20.7,17.1,13.7,10.7,8.5,6.2,5,4,3.4,2.7
일본,24.7,15.9,11.6,8.5,6.4,4.9,4.4,3.7,3,2.6,2.2,1.9
터키,178.6,159.8,145.2,120.4,95,73.2,56.3,37,24.7,16.4,12.6,9.9
북아메리카,,,,,,,,,,,,
캐나다,26,20.8,16.3,12.2,9,7.4,6.2,5.4,5.3,5.1,4.7,4.1
멕시코,88,79.4,69,56.8,47,39.5,33.1,27.7,20.5,19.9,18.8,16.5
미국,25.2,22.3,17.8,14.1,11.4,10.3,8.7,7.4,7,6.8,6,5.2
남아메리카,,,,,,,,,,,,
칠레,107.5,88.2,66.7,44.1,24.6,18,13.5,10.5,8.4,7.8,7.4,6.3
유럽,,,,,,,,,,,,
오스트리아,31.9,26.1,23.8,16.2,12.2,9.2,6.9,4.7,4.5,3.8,3.3,2.2
벨기에,27,22.3,18.2,13.7,10.7,9.2,7.8,5.3,4.2,3.8,3.5,2.8
체코,20.4,21.6,20.2,17.4,14.4,11.3,9,5.5,3.9,3.1,2.5,2.2
덴마크,20.2,15.8,12.1,8.9,7.8,8,6.2,4.9,4.5,3.7,3.5,3
에스토니아,33.4,23.5,21.1,21.8,20.3,18.3,16.3,12,7.3,4.7,3.2,2.8
핀란드,19.2,14.6,11.6,8.5,6.4,6,4.9,3.8,3.2,2.7,2.3,1.6
프랑스,25.4,20.7,16.3,11.8,9.5,8,6.8,4.7,4.3,3.7,3.4,2.8
독일,30.2,22.6,20.8,15.5,11.1,8.3,6,4.8,4.2,3.7,3.4,2.1
그리스,38,33.6,25,20.8,14.7,11.5,8.4,6.6,4.6,3.5,3.3,3
헝가리,42.9,37.2,34.8,25.9,20,17.1,13.2,9.6,7.4,5.7,4.9,4.2
아이슬란드,16.9,13.2,11.9,8.9,6.2,5.6,4.8,3.7,2.5,2,1.6,1.5
아일랜드,27.7,22.4,18.1,14.6,10,8.3,6.6,6.1,5.2,3.7,3.4,2
이탈리아,40.2,32.5,25.8,17.2,12.4,9.3,7.4,5.5,4.1,3.4,3,2.3
라트비아,30.3,22.3,20,22.8,18.5,14.6,17.6,15.7,9.9,7.8,6.5,5.2
룩셈부르크,29.2,20.9,17.8,13.1,12,9,7.3,4.9,5,2.3,3.4,2.9
네덜란드,15.7,13.3,11,9.3,8.3,7.3,6.2,5.3,4.9,4.1,3.5,2.5
노르웨이,16.7,13.5,11.1,8.8,8,8,5.5,4,3.5,3,2.4,1.8
폴란드,49.7,36.4,31.7,27.3,23.7,20.3,16.4,10.1,7.1,5.7,4.5,4
포르투갈,77.3,60.7,45.3,29.9,19.5,13.8,9.1,6.4,4.5,3.3,2.9,1.6
슬로바키아,26.5,25.3,24.6,22.2,17.9,13.9,11.6,9,7.3,6.2,5.7,5.1
슬로베니아,16.6,16.6,15.5,13.7,13.4,10.2,7.3,4.9,4,3.2,2.5,2.1
스페인,42.1,33,22.7,15.4,10.6,8.3,6.6,4.9,4,3.4,2.9,2.3
스웨덴,15.4,12.3,10.2,7.8,6.8,6.1,5.1,3.6,3.2,2.6,2.4,1.9
스위스,20.9,16.8,13.7,9.7,7.8,7,6.1,4.8,4.6,4.2,3.9,3.4
영국,21.9,18.9,17,13.8,10.5,9,6.7,5.8,5.3,4.8,4.1,3.5
오세아니아,,,,,,,,,,,,
오스트레일리아,19.5,18.2,16.4,12.3,10,8.7,6.5,5.5,4.9,4.4,3.9,3.1
뉴질랜드,20.6,17.9,16,13.6,11.8,10.5,7.4,6.2,5.4,5,4.4,3.8
